PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,Cluster
43667,49,Male,Other,Action,3.326911320481104,1,Medium,16,63,43,6,Medium,1
31227,29,Female,USA,Action,19.62646247850453,0,Hard,10,99,48,11,Medium,0
33899,32,Male,Asia,Sports,23.32208579857633,0,Medium,11,17,12,34,Medium,0
44415,49,Male,Asia,Action,10.348791401534967,0,Medium,7,149,44,38,Medium,0
30440,48,Female,Other,Simulation,6.238741796428113,0,Easy,10,127,14,4,Medium,0
41877,43,Female,Asia,Strategy,3.8458676093275033,0,Easy,11,170,60,34,High,0
43287,15,Male,Asia,Action,12.496477746473357,0,Medium,5,11,67,40,Low,2
16568,18,Male,Europe,Simulation,10.850420835012434,0,Hard,16,85,84,25,High,0
32191,45,Female,USA,Sports,15.88324057060239,0,Easy,13,175,25,18,High,0
10483,44,Female,USA,Strategy,16.716541893045036,0,Easy,4,53,8,30,Low,0
46920,48,Male,Asia,Strategy,17.841126559772135,0,Hard,19,84,71,40,Low,0
48288,18,Female,USA,RPG,23.61890031935928,1,Easy,0,10,33,35,Low,1
12219,48,Male,Europe,Action,19.328903208239264,0,Easy,18,55,60,42,Medium,0
9252,49,Male,USA,Sports,4.680904119898592,0,Medium,0,75,7,36,Medium,0
24951,36,Male,Europe,Simulation,21.59986846156692,0,Hard,4,132,61,16,Medium,0
26537,23,Male,USA,RPG,0.1310253259460685,0,Easy,0,149,24,2,Low,0
24107,41,Male,Other,Action,10.423866593634376,0,Easy,7,108,78,8,Medium,0
22804,28,Female,Europe,Sports,15.755812810302976,0,Medium,18,153,81,7,High,0
20879,31,Female,USA,Action,6.926827178913354,0,Easy,19,19,62,7,Medium,0
21994,38,Male,Other,Sports,16.26472507277258,0,Medium,17,62,16,46,Medium,0
40582,29,Female,Other,RPG,3.952369275938642,0,Easy,17,121,44,23,High,0
38828,28,Male,Asia,Action,22.653546725453964,0,Easy,9,169,42,32,High,2
20790,23,Male,Europe,Strategy,18.55327959144355,0,Easy,19,41,53,20,Medium,2
43419,20,Female,USA,Simulation,16.25843183116664,0,Easy,16,103,87,16,High,2
43398,39,Male,USA,Simulation,14.681061792461696,0,Medium,7,159,52,26,Medium,0
45168,41,Female,Europe,Strategy,20.839053923076,0,Easy,19,79,26,18,High,0
23470,40,Male,Asia,RPG,9.583635613714748,0,Hard,3,83,67,1,Low,0
23307,35,Male,USA,Action,23.84647971202036,0,Easy,6,156,4,21,Medium,0
9314,20,Female,USA,Action,18.921123790663284,0,Easy,2,64,54,25,Low,2
17057,31,Male,USA,Action,2.7020152238801227,0,Hard,0,164,57,9,Low,0
17975,31,Female,Europe,RPG,8.748144446620369,1,Hard,6,36,24,10,Low,1
11308,41,Female,Europe,Strategy,17.167602538582784,0,Easy,17,109,44,18,High,0
28565,41,Female,Europe,Strategy,10.570970014974078,0,Medium,7,28,44,5,Low,0
19580,41,Female,Europe,Action,14.528814507664364,0,Medium,5,64,50,45,Medium,0
11240,42,Male,Europe,Strategy,3.869006111060553,0,Easy,7,166,79,8,Medium,0
31041,21,Female,Europe,Strategy,19.22841415249192,0,Easy,1,71,41,43,Low,2
44813,26,Male,USA,Action,10.88236422325679,0,Easy,14,106,48,14,Medium,0
46852,43,Male,USA,Strategy,7.584836022947157,0,Hard,4,57,72,34,Medium,0
15399,40,Male,USA,RPG,19.11162572220005,0,Medium,17,110,71,5,High,0
15988,23,Male,Europe,Strategy,12.057588854495751,0,Medium,9,94,33,39,Medium,0
25954,45,Male,USA,Strategy,8.638847585829298,0,Easy,0,100,77,39,Low,0
25758,43,Female,Europe,RPG,12.502444070595626,1,Medium,5,49,77,17,Low,1
30289,20,Female,USA,Simulation,4.200206836849012,0,Medium,19,134,53,20,High,0
26624,29,Female,USA,RPG,16.07650628662454,0,Easy,16,147,46,23,High,2
46158,25,Male,USA,Action,6.51436310190227,0,Easy,2,176,76,34,Medium,2
42433,17,Female,Asia,Simulation,2.6191117321133888,0,Hard,19,142,63,39,High,0
34400,24,Male,USA,Simulation,19.48168069612761,0,Easy,10,56,63,31,Low,2
35168,17,Female,USA,Simulation,11.689979025732324,1,Easy,8,19,67,28,Low,1
