PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,Cluster,PCA1,PCA2
43667,49,Male,Other,Action,3.326911320481104,1,Medium,16,63,43,6,Medium,3,-1.9340287584038358,-0.10814251123674226
31227,29,Female,USA,Action,19.62646247850453,0,Hard,10,99,48,11,Medium,0,-0.6093367178616467,-0.2779926426617459
33899,32,Male,Asia,Sports,23.32208579857633,0,Medium,11,17,12,34,Medium,0,0.9780229383898419,-0.9801657170728663
44415,49,Male,Asia,Action,10.348791401534967,0,Medium,7,149,44,38,Medium,0,-0.5518505544353486,-1.0133986354203288
30440,48,Female,Other,Simulation,6.238741796428113,0,Easy,10,127,14,4,Medium,0,-1.2020447451589564,-2.0810322418620926
41877,43,Female,Asia,Strategy,3.8458676093275033,0,Easy,11,170,60,34,High,0,-0.028585478914232597,-0.6494327332202895
43287,15,Male,Asia,Action,12.496477746473357,0,Medium,5,11,67,40,Low,2,0.779178797210218,1.6943962927443694
16568,18,Male,Europe,Simulation,10.850420835012434,0,Hard,16,85,84,25,High,0,0.003428358466874502,1.235287506956835
32191,45,Female,USA,Sports,15.88324057060239,0,Easy,13,175,25,18,High,0,0.28888322245820175,-2.1294620813488754
10483,44,Female,USA,Strategy,16.716541893045036,0,Easy,4,53,8,30,Low,0,0.2134914926168978,-1.5047131831804381
46920,48,Male,Asia,Strategy,17.841126559772135,0,Hard,19,84,71,40,Low,0,-0.0717590320694848,-0.6330398254032599
48288,18,Female,USA,RPG,23.61890031935928,1,Easy,0,10,33,35,Low,3,1.5523475710811123,1.5885972311470908
12219,48,Male,Europe,Action,19.328903208239264,0,Easy,18,55,60,42,Medium,0,1.3133156953607992,-1.0738033821717747
9252,49,Male,USA,Sports,4.680904119898592,0,Medium,0,75,7,36,Medium,0,-1.4213067227906186,-1.123176792873384
24951,36,Male,Europe,Simulation,21.59986846156692,0,Hard,4,132,61,16,Medium,1,-0.8742659312361284,-0.19420719131067105
26537,23,Male,USA,RPG,0.1310253259460685,0,Easy,0,149,24,2,Low,1,-1.1405929326949837,-0.19311469245073143
24107,41,Male,Other,Action,10.423866593634376,0,Easy,7,108,78,8,Medium,1,-0.7450679524673156,-0.18449235452088755
22804,28,Female,Europe,Sports,15.755812810302976,0,Medium,18,153,81,7,High,0,0.111213366883315,-0.13874774990438082
20879,31,Female,USA,Action,6.926827178913354,0,Easy,19,19,62,7,Medium,0,-0.0731756324265916,-0.14579323026769525
21994,38,Male,Other,Sports,16.26472507277258,0,Medium,17,62,16,46,Medium,0,1.04182437549792,-1.287079607029874
40582,29,Female,Other,RPG,3.952369275938642,0,Easy,17,121,44,23,High,0,0.43953851834206137,-0.5264122771854565
